"filename", "language", "JSON", "JavaScript", "CSS", "Log", "XML", "JSON with Comments", "TypeScript", "comment", "blank", "total"
"d:\HCMUT\HK222\CSE_project\Back_end\src\controllers\ConditionController.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -16, -4, -5, -25
"d:\HCMUT\HK222\CSE_project\Back_end\src\controllers\DeviceController.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -45, -8, -8, -61
"d:\HCMUT\HK222\CSE_project\Back_end\src\controllers\SettingsController.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -25, 0, -5, -30
"d:\HCMUT\HK222\CSE_project\Back_end\src\db\connect.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -14, 0, -3, -17
"d:\HCMUT\HK222\CSE_project\Back_end\src\errors\badRequest.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -10, 0, -3, -13
"d:\HCMUT\HK222\CSE_project\Back_end\src\errors\customErrors.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -6, 0, -2, -8
"d:\HCMUT\HK222\CSE_project\Back_end\src\errors\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"d:\HCMUT\HK222\CSE_project\Back_end\src\errors\notFound.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -10, 0, -3, -13
"d:\HCMUT\HK222\CSE_project\Back_end\src\errors\unauthorizied.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -10, 0, -3, -13
"d:\HCMUT\HK222\CSE_project\Back_end\src\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -38, -6, -8, -52
"d:\HCMUT\HK222\CSE_project\Back_end\src\interfaces\activitylog.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -7, 0, -2, -9
"d:\HCMUT\HK222\CSE_project\Back_end\src\interfaces\ada.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -16, 0, -4, -20
"d:\HCMUT\HK222\CSE_project\Back_end\src\interfaces\device.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -17, 0, -3, -20
"d:\HCMUT\HK222\CSE_project\Back_end\src\interfaces\error.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -6, 0, -2, -8
"d:\HCMUT\HK222\CSE_project\Back_end\src\interfaces\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -8, 0, -1, -9
"d:\HCMUT\HK222\CSE_project\Back_end\src\interfaces\manualModeInfo.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -5, 0, -2, -7
"d:\HCMUT\HK222\CSE_project\Back_end\src\interfaces\modeSetting.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -13, 0, -2, -15
"d:\HCMUT\HK222\CSE_project\Back_end\src\interfaces\notification.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -5, 0, -2, -7
"d:\HCMUT\HK222\CSE_project\Back_end\src\interfaces\numberID.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -4, 0, -2, -6
"d:\HCMUT\HK222\CSE_project\Back_end\src\interfaces\record.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -8, 0, -2, -10
"d:\HCMUT\HK222\CSE_project\Back_end\src\interfaces\safeModeInfo.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -6, 0, -2, -8
"d:\HCMUT\HK222\CSE_project\Back_end\src\middlewares\errorHandler.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -10, 0, -3, -13
"d:\HCMUT\HK222\CSE_project\Back_end\src\middlewares\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -7, 0, -3, -10
"d:\HCMUT\HK222\CSE_project\Back_end\src\middlewares\notFoundHandler.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -6, 0, -3, -9
"d:\HCMUT\HK222\CSE_project\Back_end\src\models\activityLog.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -25, 0, -3, -28
"d:\HCMUT\HK222\CSE_project\Back_end\src\models\consumption.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -16, -1, -3, -20
"d:\HCMUT\HK222\CSE_project\Back_end\src\models\device.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -53, 0, -3, -56
"d:\HCMUT\HK222\CSE_project\Back_end\src\models\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -13, 0, -3, -16
"d:\HCMUT\HK222\CSE_project\Back_end\src\models\serverRecord.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -24, 0, -7, -31
"d:\HCMUT\HK222\CSE_project\Back_end\src\models\user.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -13, 0, -3, -16
"d:\HCMUT\HK222\CSE_project\Back_end\src\providers\Socket.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -99, -2, -11, -112
"d:\HCMUT\HK222\CSE_project\Back_end\src\record\activity.json", "JSON", -3, 0, 0, 0, 0, 0, 0, 0, 0, -3
"d:\HCMUT\HK222\CSE_project\Back_end\src\record\serverRecord.json", "JSON", -3, 0, 0, 0, 0, 0, 0, 0, 0, -3
"d:\HCMUT\HK222\CSE_project\Back_end\src\repositories\ActivityLogRepository.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -21, -1, -5, -27
"d:\HCMUT\HK222\CSE_project\Back_end\src\repositories\CondtionRepository.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -15, -1, -4, -20
"d:\HCMUT\HK222\CSE_project\Back_end\src\repositories\DeviceRepository.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -61, -1, -10, -72
"d:\HCMUT\HK222\CSE_project\Back_end\src\repositories\ServerRecord.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -24, -1, -5, -30
"d:\HCMUT\HK222\CSE_project\Back_end\src\repositories\SettingsRepository.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -48, -2, -6, -56
"d:\HCMUT\HK222\CSE_project\Back_end\src\routes\conditions.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -5, -2, -3, -10
"d:\HCMUT\HK222\CSE_project\Back_end\src\routes\devices.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -7, 0, -3, -10
"d:\HCMUT\HK222\CSE_project\Back_end\src\routes\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -9, 0, -3, -12
"d:\HCMUT\HK222\CSE_project\Back_end\src\routes\settings.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -6, 0, -3, -9
"d:\HCMUT\HK222\CSE_project\Back_end\src\services\ActivityLoggingService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -16, -1, -4, -21
